urbanizacion,perdida_veg,ganancia_veg,nuevo_agua,zona,total_pixeles,urbanizacion_pct,perdida_veg_pct,ganancia_veg_pct,nuevo_agua_pct,urbanizacion_ha,perdida_veg_ha,ganancia_veg_ha,nuevo_agua_ha
0.0,1.0,2.0,0.0,5109041003026,3.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.01,0.02,0.0
2.0,10.0,5.0,0.0,5109041004024,17.0,11.764705882352942,58.8235294117647,29.41176470588235,0.0,0.02,0.1,0.05,0.0
3.0,3.0,24.0,0.0,5109041003040,30.0,10.0,10.0,80.0,0.0,0.03,0.03,0.24,0.0
0.0,0.0,17.0,0.0,5109041004028,17.0,0.0,0.0,100.0,0.0,0.0,0.0,0.17,0.0
0.0,0.0,0.0,0.0,5109041004030,0.0,,,,,0.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,5109041004031,3.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.01,0.02,0.0
0.0,0.0,0.0,0.0,5109041003013,0.0,,,,,0.0,0.0,0.0,0.0
0.0,2.0,1.0,0.0,5109041003041,3.0,0.0,66.66666666666667,33.333333333333336,0.0,0.0,0.02,0.01,0.0
4.0,10.0,37.0,0.0,5109041003047,51.0,7.8431372549019605,19.607843137254903,72.54901960784314,0.0,0.04,0.1,0.37,0.0
0.0,2.0,0.0,0.0,5109041004029,2.0,0.0,100.0,0.0,0.0,0.0,0.02,0.0,0.0
0.0,0.0,0.0,0.0,5109041003025,0.0,,,,,0.0,0.0,0.0,0.0
107.0,106.0,199.0,0.0,5109041008008,412.0,25.97087378640777,25.728155339805824,48.300970873786405,0.0,1.07,1.06,1.99,0.0
0.0,45.0,652.0,1.0,5109041001015,698.0,0.0,6.446991404011461,93.40974212034384,0.14326647564469913,0.0,0.45,6.5200000000000005,0.01
0.0,0.0,5.0,0.0,5109041001009,5.0,0.0,0.0,100.0,0.0,0.0,0.0,0.05,0.0
24.0,50.0,52.0,0.0,5109041007500,126.0,19.047619047619047,39.682539682539684,41.26984126984127,0.0,0.24,0.5,0.52,0.0
0.0,12.0,8.0,0.0,5109041007011,20.0,0.0,60.0,40.0,0.0,0.0,0.12,0.08,0.0
2.0,12.0,20.0,0.0,5109041007014,34.0,5.882352941176471,35.294117647058826,58.8235294117647,0.0,0.02,0.12,0.2,0.0
